trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.10779336094856262,0.028002223846153355,0.00045352402958087623,0.2545239329338074,0.5199070463750104,20.0,20.0,0.13635223135352134,0.1328205242753029,0.10482535928858852,23.833333333333332,16.0,0.9,0.06973681336268783
1,124,2000,2000,2000,1,0,1,0.01751997135579586,0.03194433486183698,0.00030762908863835037,0.23937231302261353,0.5199070463750104,17.0,16.0,0.1341553556267172,0.1312539279460907,0.10031043070412124,28.0,16.0,0.9375,0.07313457210024353
2,125,2000,2000,2000,1,0,1,0.01073162630200386,0.029347968858026433,0.0002126843319274485,0.23613449931144714,0.5199070463750104,18.0,18.0,0.11756245522863334,0.0922853834927082,0.08806355851346678,30.88888888888889,17.0,1.0,0.06341622075893813
3,126,2000,2000,2000,1,0,1,0.004433040972799063,0.03374324335482379,0.00038435382884927094,0.25037726759910583,0.5199070463750104,21.0,21.0,0.12110565230250359,0.11191657930612564,0.0886854034582419,26.19047619047619,10.0,1.0,0.06750825776851603
4,127,2000,2000,2000,1,0,1,0.05564097315073013,0.027726505486134555,0.00017101052799262106,0.1945968121290207,0.5199070463750104,17.0,17.0,0.1140844022088191,0.10477320104837418,0.09618184781044392,24.0,19.0,0.9411764705882353,0.04327178849030615
5,128,2000,2000,2000,1,0,1,0.024126393720507622,0.04235408803925384,0.0006528704543597996,0.272932231426239,0.5199070463750104,26.0,26.0,0.15442110096605924,0.1471957117319107,0.10312701245969108,21.48,12.0,0.9615384615384616,0.1063943023678775
6,129,2000,2000,2000,1,0,1,0.01915271393954754,0.03947247017291375,0.0004445064696483314,0.21414652466773987,0.5199070463750104,20.0,20.0,0.12843514019623398,0.13501499593257904,0.08754778133356013,19.842105263157894,8.0,0.95,0.08675846298038958
7,130,2000,2000,2000,1,0,1,0.005660862196236849,0.03342616183095379,0.000509727222379297,0.1583103984594345,0.5199070463750104,20.0,20.0,0.1076094452291727,0.12022584304213524,0.0822590415198647,23.9,14.5,1.0,0.055287631311919536
