condition,trials,mean_of_mean_rmse,std_of_mean_rmse,mean_final_rmse,avg_runtime_s,total_runtime_s,mean_collision_count,mean_collision_events_analyzed,mean_collision_peak_rmse,mean_collision_peak_delta_rmse,mean_collision_recovery_time_steps,mean_collision_recovery_success_rate,scenario
baseline,50.0,0.009890897499563251,0.0006668672197502462,0.009694943239446729,0.3483041444599803,17.415207222999015,0.0,0.0,nan,nan,nan,nan,no_collision
adaptive_noise,50.0,0.01194553324982199,0.000628976420441131,0.01250389807857573,0.3278853240800163,16.394266204000814,0.0,0.0,nan,nan,nan,nan,no_collision
adaptive_particles,50.0,0.009890897499563251,0.0006668672197502462,0.009694943239446729,0.32362127036005406,16.181063518002702,0.0,0.0,nan,nan,nan,nan,no_collision
adaptive_both,50.0,0.01194553324982199,0.000628976420441131,0.01250389807857573,0.3308157106199724,16.54078553099862,0.0,0.0,nan,nan,nan,nan,no_collision
baseline,50.0,0.13492006435849546,0.6589495844548565,0.06536898732883856,0.34922719369998956,17.46135968499948,101.76,100.7,0.25585132725552984,0.11080279771718575,30.686707809047622,0.9761390994311125,with_collision
adaptive_noise,50.0,0.015104204243777461,0.0008846027144584711,0.012894727613311261,0.34324330290000943,17.162165145000472,101.76,100.7,0.06935039046761371,0.05395911516467721,5.595820417556816,0.9993610272190248,with_collision
adaptive_particles,50.0,0.13492006435849546,0.6589495844548565,0.06536898732883856,0.33786543477996017,16.89327173899801,101.76,100.7,0.25585132725552984,0.11080279771718575,30.686707809047622,0.9761390994311125,with_collision
adaptive_both,50.0,0.015104204243777461,0.0008846027144584711,0.012894727613311261,0.3301531331199658,16.50765665599829,101.76,100.7,0.06935039046761371,0.05395911516467721,5.595820417556816,0.9993610272190248,with_collision
