trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.050046488642692566,0.016729430446132027,0.00020734577265102416,0.16536779701709747,0.514069198749894,20.0,20.0,0.09070833995938302,0.08939042687416077,0.0690505774320991,7.7368421052631575,3.0,0.95,0.05045211265608669
1,124,2000,2000,2000,1,0,1,0.01759757474064827,0.01539906130239251,0.00019890139810740948,0.1292324960231781,0.514069198749894,17.0,16.0,0.08020585356280208,0.0866563618183136,0.06571825490973424,8.0,8.5,1.0,0.03580501465068664
2,125,2000,2000,2000,1,0,1,0.0048818630166351795,0.018579058774979784,0.00017052379553206265,0.24924585223197937,0.514069198749894,18.0,18.0,0.09971934939838117,0.07648315280675888,0.08168577826484884,10.38888888888889,6.0,1.0,0.04201665566458057
3,126,2000,2000,2000,1,0,1,0.006540448870509863,0.019250891362156835,0.00026912716566585004,0.1365690976381302,0.514069198749894,21.0,21.0,0.07860505368028368,0.08178466558456421,0.057331128931781716,12.428571428571429,4.0,1.0,0.04654049931847979
4,127,2000,2000,2000,1,0,1,0.034609273076057434,0.01941627324176079,0.00022535890457220376,0.15511523187160492,0.514069198749894,17.0,17.0,0.08639475527931662,0.08555644005537033,0.07136398274391575,9.5,8.0,0.9411764705882353,0.03799625671276933
5,128,2000,2000,2000,1,0,1,0.023104123771190643,0.01922274366772035,0.0004903516382910311,0.1380799263715744,0.514069198749894,26.0,26.0,0.09021966316952156,0.09921198338270187,0.06949721526929913,11.538461538461538,10.0,1.0,0.04566577282734215
6,129,2000,2000,2000,1,0,1,0.017496129497885704,0.021077513447169623,0.00019870010146405548,0.17532062530517578,0.514069198749894,20.0,20.0,0.09488366264849901,0.10717126727104187,0.07695362654325436,14.3,4.5,1.0,0.04394279175018891
7,130,2000,2000,2000,1,0,1,0.004358184523880482,0.020481500440699164,0.00036387745058164,0.15824712812900543,0.514069198749894,20.0,20.0,0.07781885378062725,0.08552701771259308,0.06374889442282437,9.6,6.0,1.0,0.03461265438073315
