trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.08184890449047089,0.020663530843507034,0.0006592194549739361,0.1885342001914978,0.5108759046249816,20.0,20.0,0.11891060303896665,0.1250598467886448,0.09274752889818046,13.333333333333334,10.5,0.9,0.057840768439695246
1,124,2000,2000,2000,1,0,1,0.017164936289191246,0.01916163984822924,0.00026434502797201276,0.2080615907907486,0.5108759046249816,17.0,16.0,0.10723342804703861,0.1126544252038002,0.0888347747358239,22.6875,13.5,1.0,0.044608846052433364
2,125,2000,2000,2000,1,0,1,0.0015158257447183132,0.022648718129443295,0.00019171582243870944,0.2662980258464813,0.5108759046249816,18.0,18.0,0.11537835022641553,0.08659794181585312,0.09312867915464772,19.666666666666668,9.0,1.0,0.049403274930082265
3,126,2000,2000,2000,1,0,1,0.007096949964761734,0.022473294888826784,0.0005338866612873971,0.16206766664981842,0.5108759046249816,21.0,21.0,0.10514370431857449,0.10985081642866135,0.08204836659493767,14.428571428571429,10.0,1.0,0.049564132242951364
4,127,2000,2000,2000,1,0,1,0.016475718468427658,0.02107751841717982,0.0005208877846598625,0.1734316200017929,0.5108759046249816,17.0,17.0,0.10808817362960647,0.09914883971214294,0.0918680229873109,13.4375,11.5,0.9411764705882353,0.04053555470042151
5,128,2000,2000,2000,1,0,1,0.027870723977684975,0.026817320106783882,0.0002603810280561447,0.2216217815876007,0.5108759046249816,26.0,26.0,0.12738774444621342,0.12214108556509018,0.09743358055778886,16.846153846153847,11.0,1.0,0.0629347529126188
6,129,2000,2000,2000,1,0,1,0.020026126876473427,0.02706927890094812,0.0003606487880460918,0.1866340935230255,0.5108759046249816,20.0,20.0,0.11431239787489175,0.12491882592439651,0.08789674469284366,11.0,6.0,0.95,0.06014193312358111
7,130,2000,2000,2000,1,0,1,0.005122973117977381,0.02457393915834109,0.0001762350875651464,0.15828818082809448,0.5108759046249816,20.0,20.0,0.10157337114214897,0.11631549522280693,0.08512505591526862,14.85,11.5,1.0,0.038835665440885354
