trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.11548599600791931,0.025353454674255774,0.00011782606452470645,0.23560243844985962,0.49203937800007225,20.0,20.0,0.13491840567439795,0.12988827750086784,0.1054429158650055,24.666666666666668,17.0,0.9,0.06503756272839382
1,124,2000,2000,2000,1,0,1,0.016104234382510185,0.028102309768510168,0.0003955255670007318,0.21894225478172302,0.49203937800007225,17.0,16.0,0.12578753451816738,0.1278374046087265,0.09691025965821609,37.1875,25.5,1.0,0.06413420383818448
2,125,2000,2000,2000,1,0,1,0.004331597127020359,0.02671600336737174,0.00042194456909783185,0.24836628139019012,0.49203937800007225,18.0,18.0,0.11829469342612559,0.09271805733442307,0.09074534048656156,26.11111111111111,14.0,1.0,0.059980734963383936
3,126,2000,2000,2000,1,0,1,0.007275001145899296,0.027904586321645185,0.0003610517014749348,0.23105093836784363,0.49203937800007225,21.0,21.0,0.1162923811269658,0.10869445651769638,0.08909750213469599,23.047619047619047,10.0,1.0,0.05734255297453187
4,127,2000,2000,2000,1,0,1,0.04891999065876007,0.026526887081112362,0.00020552179194055498,0.1954406201839447,0.49203937800007225,17.0,17.0,0.11032866752322983,0.10088320076465607,0.0923722448067137,21.3125,18.5,0.9411764705882353,0.04333604453775265
5,128,2000,2000,2000,1,0,1,0.025389952585101128,0.035136786035247496,0.00044273052481003106,0.26092860102653503,0.49203937800007225,26.0,26.0,0.1398732358446488,0.13626373559236526,0.0976044324099628,19.68,11.0,0.9615384615384616,0.08842779971551723
6,129,2000,2000,2000,1,0,1,0.01865553855895996,0.03529591071371396,7.639892282895744e-05,0.2004011869430542,0.49203937800007225,20.0,20.0,0.12385426657274365,0.1254742331802845,0.08680440661330067,19.57894736842105,7.0,0.95,0.07939916141051799
7,130,2000,2000,2000,1,0,1,0.004342556931078434,0.02851936121926701,0.00015148954116739333,0.15829741954803467,0.49203937800007225,20.0,20.0,0.10166434720158576,0.11676003783941269,0.08082891389974974,22.5,10.0,1.0,0.04683984184800648
