trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.13814683258533478,0.028695857479840926,0.00020399074128363281,0.24714824557304382,0.5023896486250123,20.0,20.0,0.14150903690606356,0.1341799795627594,0.10997593424890509,27.944444444444443,19.5,0.9,0.069831085158512
1,124,2000,2000,2000,1,0,1,0.019281061366200447,0.03726031775552838,0.00018491569790057838,0.2391122579574585,0.5023896486250123,17.0,16.0,0.1376185875851661,0.13744373619556427,0.09982985117458157,35.4,28.0,0.9375,0.08099342245317528
2,125,2000,2000,2000,1,0,1,0.010058393701910973,0.03036259183682705,7.582760008517653e-05,0.23077771067619324,0.5023896486250123,18.0,18.0,0.11611236217949125,0.09048568457365036,0.08601644328349116,35.5,16.0,1.0,0.0652851271132628
3,126,2000,2000,2000,1,0,1,0.005863487254828215,0.03577991053200094,0.0003507713263388723,0.28109899163246155,0.5023896486250123,21.0,21.0,0.1281905331249748,0.11966969072818756,0.09325884593805919,38.666666666666664,7.0,1.0,0.0726069851729664
4,127,2000,2000,2000,1,0,1,0.05184192582964897,0.02883151145080774,0.00023022100504022092,0.196659654378891,0.5023896486250123,17.0,17.0,0.11178597128566574,0.10388600826263428,0.09282393834454364,24.875,18.0,0.9411764705882353,0.04563263564507532
5,128,2000,2000,2000,1,0,1,0.027499454095959663,0.04940292605059221,0.000567793205846101,0.29188060760498047,0.5023896486250123,26.0,26.0,0.16427709334171736,0.14120984822511673,0.10999668361328077,26.88,14.0,0.9615384615384616,0.11281404161127283
6,129,2000,2000,2000,1,0,1,0.01783016137778759,0.04221946480928455,0.00020342820789664984,0.22487933933734894,0.5023896486250123,20.0,20.0,0.13343078475445508,0.14414112269878387,0.08765230602053634,23.0,7.0,0.95,0.09707783565577119
7,130,2000,2000,2000,1,0,1,0.005537722259759903,0.034608783529823994,0.0001986058196052909,0.15831881761550903,0.5023896486250123,20.0,20.0,0.10962456315755845,0.11967483535408974,0.08325612668209942,26.35,13.0,1.0,0.05648904492659494
