trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,0,0,1,0.13151143491268158,0.03234688225271384,0.00010408602247480303,0.26555973291397095,0.6098433177498919,20.0,20.0,0.1448915245011449,0.14124195277690887,0.11067700139145017,45.833333333333336,30.0,0.9,0.07614303353242577
1,124,2000,2000,2000,0,0,1,0.029229972511529922,0.03763052089041321,1.6586805941187777e-05,0.24351559579372406,0.6098433177498919,17.0,16.0,0.13733373256400228,0.12581872940063477,0.10042401559330756,32.5,14.0,0.875,0.07890277010970749
2,125,2000,2000,2000,0,0,1,0.008287276141345501,0.03294218692598224,0.00043549828114919364,0.24734508991241455,0.6098433177498919,18.0,18.0,0.12462746320913236,0.09684595838189125,0.09037607021309667,35.55555555555556,17.0,1.0,0.07281441735931568
3,126,2000,2000,2000,0,0,1,0.005226244684308767,0.03749822979855526,0.0002942096907645464,0.28234902024269104,0.6098433177498919,21.0,21.0,0.12667078892922118,0.11329108476638794,0.09118152177959148,30.952380952380953,18.0,1.0,0.07387575337929386
4,127,2000,2000,2000,0,0,1,0.0589013509452343,0.03054288463267676,2.4276583644677885e-05,0.19868025183677673,0.6098433177498919,17.0,17.0,0.11374550729113467,0.10162080824375153,0.09425099963229834,25.875,17.5,0.9411764705882353,0.04657343624159694
5,128,2000,2000,2000,0,0,1,0.027778614312410355,0.06897764793329407,0.0005401616799645126,0.5938273072242737,0.6098433177498919,26.0,26.0,0.20021976057726604,0.14638519287109375,0.14203561975099055,36.916666666666664,14.5,0.9230769230769231,0.12008550425561572
6,129,2000,2000,2000,0,0,1,0.01974041759967804,0.04341526659444207,0.0005055143847130239,0.22476688027381897,0.6098433177498919,20.0,20.0,0.1359968189150095,0.14690519869327545,0.08720360568753675,22.210526315789473,8.0,0.95,0.10248320545256137
7,130,2000,2000,2000,0,0,1,0.004131749738007784,0.03773439610233072,2.967138061649166e-05,0.1583206206560135,0.6098433177498919,20.0,20.0,0.11063323765993119,0.11916013062000275,0.0800998204719508,28.9,15.5,1.0,0.06483219841588289
