trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.1099814847111702,0.025867543724540157,0.00017471250612288713,0.23650214076042175,0.48937927462520747,20.0,20.0,0.13509491588920355,0.13136833161115646,0.10510610008881485,17.166666666666668,15.0,0.9,0.06632844530139118
1,124,2000,2000,2000,1,0,1,0.016968270763754845,0.029028345601014735,0.00014554082008544356,0.22949707508087158,0.48937927462520747,17.0,16.0,0.12872907263226807,0.12389402836561203,0.09899062179738394,35.9375,20.5,1.0,0.0666343008086551
2,125,2000,2000,2000,1,0,1,0.010025914758443832,0.025903593332768652,0.0007845711661502719,0.23898382484912872,0.48937927462520747,18.0,18.0,0.11541066794759697,0.09638717025518417,0.08933367382560391,25.27777777777778,16.0,1.0,0.056235545493869304
3,126,2000,2000,2000,1,0,1,0.0041106026619672775,0.029880467742812472,0.00017690754611976445,0.2559201419353485,0.48937927462520747,21.0,21.0,0.12220862756172816,0.11447098106145859,0.09366069240828179,27.523809523809526,9.0,1.0,0.05984709783235476
4,127,2000,2000,2000,1,0,1,0.06372666358947754,0.02655384493464953,0.00027251485153101385,0.19112487137317657,0.48937927462520747,17.0,17.0,0.11113710372763522,0.10108739882707596,0.09345537259000325,21.4375,17.0,0.9411764705882353,0.0428313506957527
5,128,2000,2000,2000,1,0,1,0.024083487689495087,0.03801407764884061,0.0003984287614002824,0.28457778692245483,0.48937927462520747,26.0,26.0,0.15528257592366293,0.13892336189746857,0.10936258368646332,21.12,11.0,0.9615384615384616,0.09570915556727694
6,129,2000,2000,2000,1,0,1,0.019282152876257896,0.03404470977600431,0.00044751010136678815,0.1978047788143158,0.48937927462520747,20.0,20.0,0.12455736491829157,0.13161984831094742,0.08941703556367428,19.157894736842106,7.0,0.95,0.07525105140451342
7,130,2000,2000,2000,1,0,1,0.004801883827894926,0.030111575016875575,0.00012330668687354773,0.15830467641353607,0.48937927462520747,20.0,20.0,0.10671510566025973,0.11942734196782112,0.08558055440604222,25.7,14.0,1.0,0.047171466107480235
