trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.0928504541516304,0.022367279743826657,0.00022320971766021103,0.1991337537765503,0.5017574655000772,20.0,20.0,0.12420463860034943,0.12756741791963577,0.09643438538321789,18.11111111111111,14.5,0.9,0.062104966863174925
1,124,2000,2000,2000,1,0,1,0.015539385378360748,0.023728441389786893,0.00044048993731848896,0.21465837955474854,0.5017574655000772,17.0,16.0,0.11656177381519228,0.11803898215293884,0.09451394983188949,26.625,15.0,1.0,0.05162505081971176
2,125,2000,2000,2000,1,0,1,0.014516280964016914,0.023608371392198024,0.0004633939533960074,0.23705339431762695,0.5017574655000772,18.0,18.0,0.10995380870170063,0.08353505283594131,0.08686994161657316,23.166666666666668,11.5,1.0,0.05090935286186222
3,126,2000,2000,2000,1,0,1,0.006191296968609095,0.02430227324302541,0.0006421114667318761,0.1970212608575821,0.5017574655000772,21.0,21.0,0.1085840980744078,0.11026620119810104,0.08378083464672922,15.523809523809524,10.0,1.0,0.05293618686364166
4,127,2000,2000,2000,1,0,1,0.046597544103860855,0.023355992559721928,3.348062455188483e-05,0.18090640008449554,0.5017574655000772,17.0,17.0,0.10809794068336487,0.09834751486778259,0.09144428032523139,17.5,12.0,0.9411764705882353,0.040214272507753994
5,128,2000,2000,2000,1,0,1,0.027277590706944466,0.030291995447951196,0.00011555211676750332,0.2324993908405304,0.5017574655000772,26.0,26.0,0.13269269065215036,0.13191215693950653,0.09724646519820314,24.46153846153846,11.0,1.0,0.07455458286433266
6,129,2000,2000,2000,1,0,1,0.018995236605405807,0.030102667463797844,0.000611760769970715,0.19009117782115936,0.5017574655000772,20.0,20.0,0.11667853211984039,0.1238875761628151,0.08629369153553854,14.526315789473685,7.0,0.95,0.06713046660856345
7,130,2000,2000,2000,1,0,1,0.0048198336735367775,0.027856210519425075,6.13658266956918e-05,0.1582857072353363,0.5017574655000772,20.0,20.0,0.10088830385357142,0.11813174188137054,0.08160857442955602,23.75,12.5,1.0,0.04378445751499385
