trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.10767977684736252,0.02646512254976551,0.0004050062852911651,0.22594022750854492,0.4975113413750023,20.0,20.0,0.13375636897981166,0.13104108721017838,0.1047158698918065,21.0,18.5,0.9,0.06461644353345038
1,124,2000,2000,2000,1,0,1,0.017116263508796692,0.02853453862243623,0.00025414658011868596,0.23048929870128632,0.4975113413750023,17.0,16.0,0.12229522713460028,0.1301042065024376,0.09704112260769762,36.5625,24.5,1.0,0.05794500383664854
2,125,2000,2000,2000,1,0,1,0.006583057343959808,0.028651150532510654,0.0002407512947684154,0.24114744365215302,0.4975113413750023,18.0,18.0,0.11575738330268198,0.09372512623667717,0.08594150765566157,32.0,16.5,1.0,0.06385310677759763
3,126,2000,2000,2000,1,0,1,0.004907004069536924,0.030172265065601094,0.0004446234670467675,0.25029170513153076,0.4975113413750023,21.0,21.0,0.11804206926553022,0.1139785423874855,0.08962741889159329,22.476190476190474,10.0,1.0,0.05908317511989957
4,127,2000,2000,2000,1,0,1,0.05660500004887581,0.02680164986049931,0.0003988331591244787,0.19074034690856934,0.4975113413750023,17.0,17.0,0.11024842345539261,0.1030656099319458,0.09150532855119844,22.1875,16.5,0.9411764705882353,0.04466639538213391
5,128,2000,2000,2000,1,0,1,0.02814505621790886,0.03893151292932453,0.000573446974158287,0.26212161779403687,0.4975113413750023,26.0,26.0,0.15035424567759037,0.13961533457040787,0.10509898530570073,23.2,12.0,0.9615384615384616,0.09395516301218704
6,129,2000,2000,2000,1,0,1,0.01879560388624668,0.03737676308718801,0.0003611248976085335,0.19699908792972565,0.4975113413750023,20.0,20.0,0.1279858648777008,0.14197061955928802,0.08912402007292257,20.473684210526315,8.0,0.95,0.0825279227765277
7,130,2000,2000,2000,1,0,1,0.004532895516604185,0.030757782420914738,0.0002482130948919803,0.15830153226852417,0.4975113413750023,20.0,20.0,0.10588971674442291,0.11973441764712334,0.08456665345380317,24.5,14.5,1.0,0.04758170245285146
