trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.10352899134159088,0.023935486243019114,0.00033055804669857025,0.22579815983772278,0.5010935346249425,20.0,20.0,0.13174335919320584,0.12878096103668213,0.10343203507814906,21.22222222222222,15.5,0.9,0.0642956594041316
1,124,2000,2000,2000,1,0,1,0.014264130033552647,0.02489903290181246,0.00028595284675247967,0.21790170669555664,0.5010935346249425,17.0,16.0,0.11510906193871051,0.11028120666742325,0.09241012321444941,30.625,18.0,1.0,0.05340630990103819
2,125,2000,2000,2000,1,0,1,0.0021882664877921343,0.024989444597318652,0.0004875565937254578,0.22488893568515778,0.5010935346249425,18.0,18.0,0.11265801100267304,0.09219929575920105,0.08706970832976771,25.166666666666668,13.5,1.0,0.05605763957318331
3,126,2000,2000,2000,1,0,1,0.004508680198341608,0.026196097391453805,0.00039073015796020627,0.18929581344127655,0.5010935346249425,21.0,21.0,0.10919856785663537,0.10903237760066986,0.08385941758308382,19.428571428571427,13.0,1.0,0.05421849279797503
4,127,2000,2000,2000,1,0,1,0.052281711250543594,0.024408288942322543,0.0001465450186515227,0.17258726060390472,0.5010935346249425,17.0,17.0,0.10743442396907245,0.1020558699965477,0.09047368539998868,20.5625,18.5,0.9411764705882353,0.04164014333235922
5,128,2000,2000,2000,1,0,1,0.024429896846413612,0.03291057539627946,0.0001880564959719777,0.25438597798347473,0.5010935346249425,26.0,26.0,0.136520697377049,0.12998944520950317,0.09741493704904523,17.6,11.0,0.9615384615384616,0.08198067708979719
6,129,2000,2000,2000,1,0,1,0.017977336421608925,0.03375483264485956,0.0006959398742765188,0.2014944702386856,0.5010935346249425,20.0,20.0,0.12335113044828176,0.13768503814935684,0.08956237277176114,18.157894736842106,7.0,0.95,0.073931805624743
7,130,2000,2000,2000,1,0,1,0.005024454556405544,0.027511863924359205,0.0005370498984120786,0.15829214453697205,0.5010935346249425,20.0,20.0,0.10223247930407524,0.1181345134973526,0.08191445698306779,23.45,12.5,1.0,0.045397518821526324
