trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.08333790302276611,0.021308404944997163,0.0002674266288522631,0.2164531946182251,0.5094433454999034,20.0,20.0,0.12774528693407775,0.12510591745376587,0.09997902120863726,16.666666666666668,11.0,0.9,0.06197790976532269
1,124,2000,2000,2000,1,0,1,0.015047021210193634,0.02359106667713786,0.0002501254202798009,0.22625906765460968,0.5094433454999034,17.0,16.0,0.11908274597954005,0.12076091766357422,0.09550295861454287,27.8125,13.5,1.0,0.054316362766548984
2,125,2000,2000,2000,1,0,1,0.006867898162454367,0.023608938237128313,0.00014105516311246902,0.24342279136180878,0.5094433454999034,18.0,18.0,0.1140860365703702,0.09713782370090485,0.08933053571381605,23.77777777777778,14.5,1.0,0.05450942389977475
3,126,2000,2000,2000,1,0,1,0.006194944493472576,0.022487322266562842,0.0005996253457851708,0.22181376814842224,0.5094433454999034,21.0,21.0,0.11432165954084623,0.10917793214321136,0.09298600094736598,13.619047619047619,12.0,1.0,0.0464359098397905
4,127,2000,2000,2000,1,0,1,0.05143258348107338,0.02216779763955856,0.00033996382262557745,0.17556321620941162,0.5094433454999034,17.0,17.0,0.10738146721440203,0.10097561776638031,0.09170917761007062,15.75,13.5,0.9411764705882353,0.03923772974597181
5,128,2000,2000,2000,1,0,1,0.026620712131261826,0.02875241904523864,0.00043971792911179364,0.24711120128631592,0.5094433454999034,26.0,26.0,0.1328041130820146,0.12931939959526062,0.09829736716391592,21.384615384615383,10.5,1.0,0.07250925479725433
6,129,2000,2000,2000,1,0,1,0.018572594970464706,0.029245422540669096,0.00024239771300926805,0.1907004863023758,0.5094433454999034,20.0,20.0,0.11970787057653069,0.12198296561837196,0.09059299667016603,13.736842105263158,7.0,0.95,0.06454925001831727
7,130,2000,2000,2000,1,0,1,0.005378800444304943,0.027338406865444996,0.00011783357331296429,0.1582939475774765,0.5094433454999034,20.0,20.0,0.10279731675982476,0.11330929771065712,0.08319832351320655,21.1,11.0,1.0,0.04441103193117306
