suite,run_dir,scenario,comparison,condition_a,condition_b,metric,n_pairs,wilcoxon_stat,p_value,rank_biserial_corr,mean_diff_a_minus_b,median_diff_a_minus_b,method,p_value_holm,significant_0p05_holm
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,no_collision,noise_alpha_jerk_raw_vs_baseline,noise_alpha_jerk_raw,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.0020546358662632542,0.0020348571196207553,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,no_collision,noise_alpha_jerk_raw_vs_baseline,noise_alpha_jerk_raw,baseline,final_step_rmse,50.0,88.0,3.0854181432005134e-09,0.8619607843137255,0.002808951528277248,0.0022948523983359337,scipy,9.873338058241643e-08,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,no_collision,noise_alpha_jerk_smoothed_vs_baseline,noise_alpha_jerk_smoothed,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.002028154510627359,0.0020311414939409586,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,no_collision,noise_alpha_jerk_smoothed_vs_baseline,noise_alpha_jerk_smoothed,baseline,final_step_rmse,50.0,75.0,8.855280952957401e-10,0.8823529411764706,0.002673569180769846,0.0018921621376648545,scipy,2.9222427144759422e-08,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,no_collision,noise_alpha_only_vs_baseline,noise_alpha_only,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.0012183219518550616,0.0012180261773469285,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,no_collision,noise_alpha_only_vs_baseline,noise_alpha_only,baseline,final_step_rmse,50.0,155.0,5.572207957271758e-07,0.7568627450980392,0.0017054177587851882,0.0015907594934105873,scipy,1.5044961484633745e-05,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,no_collision,noise_jerk_only_vs_baseline,noise_jerk_only,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,1.0,0.000903435152561255,0.0009043699674839622,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,no_collision,noise_jerk_only_vs_baseline,noise_jerk_only,baseline,final_step_rmse,50.0,210.0,1.4422642710343325e-05,0.6705882352941176,0.0011222893226658925,0.0008972524665296078,scipy,0.0002884528542068665,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,no_collision,noise_alpha_jerk_smoothed_vs_noise_alpha_jerk_raw,noise_alpha_jerk_smoothed,noise_alpha_jerk_raw,mean_rmse,50.0,476.0,0.12080975020940343,-0.25333333333333335,-2.648135563589525e-05,-2.3484859657582798e-05,scipy,0.33515511908469087,false
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,no_collision,noise_alpha_jerk_smoothed_vs_noise_alpha_jerk_raw,noise_alpha_jerk_smoothed,noise_alpha_jerk_raw,final_step_rmse,50.0,590.0,0.652772195247282,-0.07450980392156863,-0.0001353823475074023,-9.6877571195364e-05,scipy,0.652772195247282,false
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_vs_baseline,noise_alpha_jerk,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,-1.0,-0.11981586067993145,-0.022668577523406567,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_vs_baseline,noise_alpha_jerk,baseline,final_step_rmse,50.0,263.0,0.0001858580190070569,-0.5874509803921568,-0.0524740326195024,-0.0040032099932432175,scipy,0.0024161542470917396,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_vs_baseline,noise_alpha_jerk,baseline,collision_peak_rmse_mean,50.0,0.0,1.7763568394002505e-15,-1.0,-0.18650095099346126,-0.06338354826199885,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_vs_baseline,noise_alpha_jerk,baseline,collision_recovery_time_mean_steps,50.0,0.0,1.7763568394002505e-15,-1.0,-25.091067571670987,-25.643014102192602,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_raw_vs_baseline,noise_alpha_jerk_raw,baseline,mean_rmse,50.0,0.0,1.7763568394002505e-15,-1.0,-0.11981586067993145,-0.022668577523406567,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_raw_vs_baseline,noise_alpha_jerk_raw,baseline,final_step_rmse,50.0,263.0,0.0001858580190070569,-0.5874509803921568,-0.0524740326195024,-0.0040032099932432175,scipy,0.0024161542470917396,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_raw_vs_baseline,noise_alpha_jerk_raw,baseline,collision_peak_rmse_mean,50.0,0.0,1.7763568394002505e-15,-1.0,-0.18650095099346126,-0.06338354826199885,scipy,1.7053025658242404e-13,true
ablation,/home/edwardq/Documents/github/MCLPaper/research_runs_jax_pipeline/adaptive_noise_pipeline_20260227_181150/ablation/aggressive_suite_20260227_181408,with_collision,noise_alpha_jerk_raw_vs_baseline,noise_alpha_jerk_raw,baseline,collision_recovery_time_mean_steps,50.0,0.0,1.7763568394002505e-15,-1.0,-25.091067571670987,-25.643014102192602,scipy,1.7053025658242404e-13,true
