trial,seed,steps,particles_start,particles_end,adaptive_noise,adaptive_particles,spontaneous_collisions,final_step_rmse,mean_rmse,min_rmse,max_rmse,runtime_s,collision_count,collision_event_count_analyzed,collision_peak_rmse_mean,collision_peak_rmse_median,collision_peak_delta_mean,collision_recovery_time_mean_steps,collision_recovery_time_median_steps,collision_recovery_success_rate,collision_recovery_threshold_mean
0,123,2000,2000,2000,1,0,1,0.07810967415571213,0.01932732161207241,0.00018222542712464929,0.1658788025379181,0.49789162100000794,20.0,20.0,0.11009905077517032,0.12380595877766609,0.08623857811100608,11.5,10.5,0.9,0.05517215258162469
1,124,2000,2000,2000,1,0,1,0.015264315530657768,0.021492011123475093,0.00021349980670493096,0.18613669276237488,0.49789162100000794,17.0,16.0,0.1102775571634993,0.11429581046104431,0.08857728670209325,25.0625,11.5,1.0,0.05085779568529687
2,125,2000,2000,2000,1,0,1,0.008868034929037094,0.021276470234592126,0.0001102164460462518,0.2527735233306885,0.49789162100000794,18.0,18.0,0.11232678747425477,0.09482774883508682,0.0911348264027361,16.833333333333332,9.0,1.0,0.048121403292235396
3,126,2000,2000,2000,1,0,1,0.005893654190003872,0.021101161295577184,0.0006359030376188457,0.14600373804569244,0.49789162100000794,21.0,21.0,0.09928836354187556,0.10789400339126587,0.07613212672045587,13.428571428571429,4.0,1.0,0.04974853533807965
4,127,2000,2000,2000,1,0,1,0.042793162167072296,0.021839134330119123,0.00020236780983395875,0.17395147681236267,0.49789162100000794,17.0,17.0,0.10514557668391396,0.09800124168395996,0.08958206316644517,14.9375,13.5,0.9411764705882353,0.039242257154272764
5,128,2000,2000,2000,1,0,1,0.023469118401408195,0.025195004660978158,0.0001728559291223064,0.21565186977386475,0.49789162100000794,26.0,26.0,0.12616340056634867,0.12352229282259941,0.09833725982999357,15.615384615384615,11.0,1.0,0.059128101571964534
6,129,2000,2000,2000,1,0,1,0.02005155012011528,0.026630872123205335,0.0002619090664666146,0.18728214502334595,0.49789162100000794,20.0,20.0,0.11136038601398468,0.12494777143001556,0.08521807726057887,12.0,7.0,0.95,0.05973456475933199
7,130,2000,2000,2000,1,0,1,0.004478028044104576,0.023596729855795275,0.00016591089661233127,0.1582753211259842,0.49789162100000794,20.0,20.0,0.09321905262768268,0.1080886758863926,0.07695096585259308,20.45,11.5,1.0,0.0382257660755422
